,epoch,training loss,validation loss
471,471,503592.90141296387,279268.573135376
472,472,502723.6202583313,281177.97367858887
473,473,502025.3809661865,282785.63455200195
474,474,499659.0267791748,283729.6486816406
475,475,493621.364320755,284634.72912597656
476,476,491641.8712463379,286173.25984191895
477,477,489669.25131225586,287820.5089416504
478,478,489393.0195274353,286997.8625717163
479,479,476617.02896118164,333745.7872695923
480,480,450987.34356689453,293250.0387954712
481,481,496572.932723999,399758.5019454956
482,482,516219.5098648071,316698.8961029053
483,483,483232.78258132935,308455.0090942383
484,484,481064.85707855225,306898.12365341187
485,485,478698.29026794434,303127.4457473755
486,486,471973.5033016205,312243.8518371582
487,487,467502.5606613159,290994.25549316406
488,488,474741.89628601074,293172.7250366211
489,489,477169.819606781,300151.78775024414
490,490,463141.12523651123,321522.09508514404
491,491,472999.6016845703,279430.65983581543
492,492,482425.6658935547,283132.32191467285
493,493,493996.0989303589,282554.2637023926
494,494,493044.9451904297,283709.3241119385
495,495,492063.7275390625,284705.1701965332
496,496,490197.5475769043,285052.448638916
497,497,489189.79988098145,285873.7128601074
498,498,478405.5811767578,284877.6377105713
499,499,468762.8982887268,294212.52459716797
500,500,465486.36992645264,287223.3144378662
501,501,478247.3994445801,282293.6655883789
502,502,476976.1297607422,287600.13900756836
503,503,469916.6513977051,282784.7460784912
504,504,468697.2100830078,289078.0527648926
505,505,477514.5275878906,344052.7651939392
506,506,491240.39165496826,347813.30515289307
507,507,515951.9360923767,379439.38569641113
508,508,478294.9637145996,279319.3720855713
509,509,493932.8852844238,375831.7214355469
510,510,480523.0008239746,283871.3247375488
511,511,468011.2212219238,287134.04779052734
512,512,456050.704498291,289315.97552490234
513,513,456668.26150512695,280228.41218566895
514,514,463222.22247314453,286439.7049407959
515,515,456875.9807739258,289035.0506134033
516,516,465408.09814453125,330461.68754577637
517,517,459436.1594619751,291673.7088851929
518,518,455213.73837280273,287528.47981262207
519,519,454668.01766967773,289688.4962310791
520,520,452351.1947937012,278462.4704284668
521,521,486422.6557006836,279643.44744873047
522,522,452853.70640563965,291269.03352355957
523,523,456203.3137664795,319380.94635009766
524,524,450406.3859024048,278292.90254211426
525,525,483425.27056121826,277516.7121582031
526,526,462804.2212677002,321470.15310668945
527,527,448495.18911743164,290175.9871368408
528,528,456052.8853149414,280278.23568725586
529,529,450548.37411499023,375116.16706848145
530,530,468226.65799713135,363287.2734146118
531,531,452263.3716278076,293736.37731933594
532,532,448546.7347717285,283330.42205810547
533,533,447535.2225456238,292011.85205078125
534,534,446187.9909515381,287405.19789123535
535,535,446300.9381713867,285551.7938079834
536,536,445922.9638290405,292770.30810546875
537,537,444991.2426452637,287041.7038421631
538,538,444245.9440383911,293145.94593811035
539,539,448355.7852783203,277258.7503051758
540,540,455087.65213012695,293077.42251586914
541,541,457316.98245048523,285136.11489868164
542,542,444282.1180267334,286471.9709625244
543,543,442853.78467559814,292206.74743652344
544,544,441561.2419433594,288205.9813232422
545,545,443426.2893028259,286510.51123046875
546,546,438202.52516174316,296231.9005126953
547,547,437466.6325569153,290945.91903686523
548,548,441618.2936954498,286238.6603088379
549,549,437367.44131088257,295602.9127960205
550,550,427258.87031555176,347475.7745361328
551,551,470408.53314208984,276589.8417663574
552,552,477595.0011291504,279720.91665649414
553,553,472978.18995666504,286055.30979919434
554,554,464007.3842163086,287662.4657897949
555,555,462433.3392944336,289848.55003356934
556,556,459004.70585632324,298114.1928405762
557,557,464504.3223724365,289118.06213378906
558,558,461736.1352844238,302809.97982025146
559,559,468781.8127441406,298391.03913879395
560,560,454789.8403015137,292707.6531982422
561,561,441532.7482872009,316475.2442703247
562,562,460662.56742477417,276757.59997558594
563,563,454064.9152812958,279630.4379272461
564,564,442525.7936859131,308889.8100280762
565,565,422162.37815856934,309700.30561828613
566,566,433554.0283203125,326987.28548049927
567,567,441186.126953125,307559.3236999512
568,568,432977.0267486572,301427.93183135986
569,569,424139.99043273926,326779.98219680786
570,570,417644.6187300682,358110.14375305176
571,571,430727.08838653564,305185.10443115234
572,572,411776.77784729004,306714.51721191406
573,573,443675.40919303894,281279.65979003906
574,574,420314.6778411865,303727.1544494629
575,575,419567.7325563431,301493.5473937988
576,576,416747.5930354595,347529.7074394226
577,577,414313.5037808418,331994.98220825195
578,578,415475.82012176514,325500.2202758789
579,579,423847.5366308689,327472.09356689453
580,580,426616.5986700058,296626.0947265625
581,581,424993.77307510376,287623.9296875
582,582,419177.5183570385,311114.36601257324
583,583,411798.2468520105,301540.66497802734
584,584,415392.4860229492,324111.992767334
585,585,413915.4417114258,294583.9542236328
586,586,417248.3260116577,307456.2261352539
587,587,411218.1930809021,316787.4799499512
588,588,435874.5886077881,329485.7478752136
589,589,445215.8541107178,320250.49884033203
590,590,430917.43700408936,323592.21823501587
591,591,425008.7973098755,313772.1865005493
592,592,421952.73624420166,334509.7311630249
593,593,429543.21142578125,355398.04136657715
594,594,420736.68923950195,319437.3304595947
595,595,419333.61864566803,303694.8629760742
596,596,446678.89476013184,275410.7074584961
597,597,433539.5981016159,288861.88146972656
598,598,431533.6686630249,284476.8854370117
599,599,431813.1305294037,287775.83905029297
600,600,426278.7295227051,287561.9971008301
601,601,423737.27977752686,302172.4623413086
602,602,419113.5132293701,308897.91369628906
603,603,405371.0271759033,324954.1022644043
604,604,409125.7841911316,341212.7730255127
605,605,401149.0535888672,289032.96520996094
606,606,412080.1461238861,323911.3455810547
607,607,449727.9936583042,272426.9521789551
608,608,432044.17362976074,288573.146484375
609,609,426509.3123397827,293688.3750305176
610,610,428574.2130432129,304630.37593078613
611,611,419461.2029876709,299342.7262573242
612,612,427557.3298377991,294845.7028198242
613,613,414988.89349365234,337259.01683044434
614,614,449290.2909927368,285842.9392089844
615,615,436499.4099807739,308518.88174438477
616,616,406937.49448013306,311659.34393310547
617,617,429193.03395462036,295264.69689941406
618,618,414135.20056152344,316360.67025756836
619,619,402022.0647659302,306469.32806396484
620,620,418113.3055896759,372782.2500076294
621,621,403230.04302978516,303717.57067871094
622,622,403191.59839630127,306810.81759643555
623,623,401166.6953678131,305164.1030883789
624,624,398188.5134048462,311322.89849853516
625,625,398245.20205688477,327922.4125671387
626,626,398682.95475006104,318107.84020996094
627,627,409536.1458053589,331311.8667602539
628,628,406876.4381637573,299446.7999267578
629,629,417429.3804073334,325322.63720703125
630,630,399148.6022415161,334932.78271484375
631,631,414065.99700927734,352306.4348449707
632,632,411053.240272522,297258.8620605469
633,633,412907.30147743225,303557.97021484375
634,634,399726.8881378174,316084.2897949219
635,635,393958.06426620483,302741.49212646484
636,636,393475.4172439575,314189.63885498047
637,637,403266.611164093,309728.39306640625
638,638,398927.4735336304,311361.7253417969
639,639,404177.2284851074,318035.267578125
640,640,395132.91499710083,337725.9827270508
641,641,400029.75553131104,332064.21269607544
642,642,408317.14946365356,326852.10009765625
643,643,408978.3344345093,317737.79052734375
644,644,398457.6780090332,322705.52529907227
645,645,396535.73321533203,302073.38189697266
646,646,420886.3109436035,394313.58950805664
647,647,388776.7211074829,339376.1253890991
648,648,399864.6799316406,375189.7318649292
649,649,489486.007645607,350889.00930023193
650,650,475138.7528142929,319136.427318573
651,651,423384.3126754761,306557.0423259735
652,652,418214.097158432,305404.1809616089
653,653,413205.1837024689,303295.8373718262
